CRD106-2_S198_L004_R1_001 CRD106-2_S198_L004_R2_001 CRD106-2_S198
CRD107-1_S199_L004_R1_001 CRD107-1_S199_L004_R2_001 CRD107-1_S199
CRD107-2_S200_L004_R1_001 CRD107-2_S200_L004_R2_001 CRD107-2_S200
CRD108-1_S201_L004_R1_001 CRD108-1_S201_L004_R2_001 CRD108-1_S201
CRD108-2_S202_L004_R1_001 CRD108-2_S202_L004_R2_001 CRD108-2_S202
CRD109-1_S203_L004_R1_001 CRD109-1_S203_L004_R2_001 CRD109-1_S203
CRD109-2_S204_L004_R1_001 CRD109-2_S204_L004_R2_001 CRD109-2_S204
CRD110-1_S205_L004_R1_001 CRD110-1_S205_L004_R2_001 CRD110-1_S205
CRD110-2_S206_L004_R1_001 CRD110-2_S206_L004_R2_001 CRD110-2_S206
CRD111-1_S207_L004_R1_001 CRD111-1_S207_L004_R2_001 CRD111-1_S207
CRD111-2_S208_L004_R1_001 CRD111-2_S208_L004_R2_001 CRD111-2_S208
CRD112-1_S209_L004_R1_001 CRD112-1_S209_L004_R2_001 CRD112-1_S209
CRD112-2_S210_L004_R1_001 CRD112-2_S210_L004_R2_001 CRD112-2_S210
CRD112-3_S211_L004_R1_001 CRD112-3_S211_L004_R2_001 CRD112-3_S211
CRD114-1_S212_L004_R1_001 CRD114-1_S212_L004_R2_001 CRD114-1_S212
CRD114-2_S213_L004_R1_001 CRD114-2_S213_L004_R2_001 CRD114-2_S213
CRD115-1_S214_L004_R1_001 CRD115-1_S214_L004_R2_001 CRD115-1_S214
CRD115-2_S215_L004_R1_001 CRD115-2_S215_L004_R2_001 CRD115-2_S215
CRD115-3_S216_L004_R1_001 CRD115-3_S216_L004_R2_001 CRD115-3_S216
CRD116-1_S217_L004_R1_001 CRD116-1_S217_L004_R2_001 CRD116-1_S217
CRD116-2_S218_L004_R1_001 CRD116-2_S218_L004_R2_001 CRD116-2_S218
CRD117-1_S219_L004_R1_001 CRD117-1_S219_L004_R2_001 CRD117-1_S219
CRD117-2_S220_L004_R1_001 CRD117-2_S220_L004_R2_001 CRD117-2_S220
